@relation 'train_plural_top_1000-weka.filters.unsupervised.attribute.Remove-R1,7,9'

@attribute CV {2vCvvC,2vC~,yvwC,CvCC,CvtvmvC~vC,vvCtvCvvC,CvCvCvy~,mvCvC~vC,2vCCvvC,CvCCvy~,CvyvvC,mvtvCvC~vC,vvCC,CvvC,vvCtvyvvC,CvwC,CvvCvv,CvCvC,wvCC,CvCCvC,mvCvvC,mvCCvC,wvCvvC,CvvCvC,2vCvC,tvCvvCvv,tvCCvvC,Cvw~,CvCvvC,tvCvC~vC,NTWS,mvstvCvvC,mvCCvvC,CvC~vvC,CvC,tvwvC~vC,CvCvvy,mvwvvCvC,CvCvvCvy~,mvCvC~,CvC~,wvCvvy,Cv2vyC,mvCCvv,vvt~vCvvC,CvvCvvC,Cvv2vC,wvCvv,mvCvvC~,2vCCvvCvy~,mvwCvC,CvyCvCvvC,CvyCvC,vvCCvtvvC,Cv2tvmvC,yvC,CvCw,mv2vC~vC,vvnCvCvvC,CvCCvvCvy~,tvwCvvC,mvyCvvC,CvyvwCvy~,mvCvCCvC,CvC+vv2,vvCtvC+vv2,mvCCv2,yvCvCvy~,2vCC+vv2,mvCvvwvC,mvCvvCvC,yvCvvCvy~,mvstvwCvC,mvstvCCvv,CvCvv,vvstvCCvvC,mvC2vwC,Cv2C,2vCC,Cvwvy~,Cvy~vvC,CvCCvvC,vvCTvCvvC,vvnCvyvvC,tvCCv2,tvwvC~vy,mvCtvCvC,Cvtvmvw~vC,tvCvw~vC,wvCvC,mvtvCvw~vC,CvyC,mvC2vC,Cvyvv,CvCvy~,mvCvy~vC,CvCvyC,CvwCvC,tv2CvvC,CvmvC~vC,vvstvCwvvC,CvvCvy~,NTWSap,2vCCvC,CvCvv2vy~,mvwCvvC,CvwvyCvy~,mv2Cvv,Cvy~,CvyvvCvy~,mvCtvwvv,2vCCvv,CvCCvCvy~,vvCtvCvvCvy~,mvstvCCvC,CvvCvCvy~,CvstvmvC~}
@attribute VOC {aii,u,a,uaai,aiiaa,aai,uaa,iaa,ui,aaa,ai,aa,aaii,uu,ia,uuu,aaaii,aau,x,uaaa,auu,aauu,i,aiii,uai,uuui,uui,auui,aaai,au,ii,ua,iii,iaai,aiiaai}
@attribute at {False,True}
@attribute gen {m,f}
@attribute rat {r,i}
@attribute plural_cv {2uCaC+aa2,2uCaC,2ay~aaC,CuCuuC,+iin,+aat,2aCC+aa2,2aCwaaC,2aCCaaC,2awCaaC,CaCaaCiC,maCaaCiC,CawaaCiC,2aaCaaC,CaCaa2iC,2aCCiC+at,CuCuC,CuCaC,CuwaC,wuCaC+aa2,CuC~aaC,Cu2aC+aa2,maCaaC,CawaaCiiC,Cuw~aaC,maCaaC~,mawaaCiC,CaCaaCiC+at,CayaaCiC,CaaC+at,2ayC,CuCaC+aa2,mawaaCiiC,2aCaaCiiC,2aCCiy+at,ma12a|t,CiCaaC,CiCaC,yaCuuC,CiCy+aan,Cu2uwC,2aCaaC,2aCwiy+aa2,2uCuuC,CaCaaCiiC,CuCaaCaa,CiiC+aan,waCaa2iC,CuyuwC,maCaa2iC,2aCaaCii,CiC+aa2,2aCCuC,CaCaayaa,2aCiC~+aa2,2amCiC+at,CaCCaa,CiyaC,2aCaaCiC,2awaaCiC,2uCuC,2ayCii,CuCaCaa2,CaCaC,Cuwaa,2amaaCiC,2aCCaa2,ma2aaCii,2aCy+aa2,CiCaa2,maCaaCii,NTWS,wuCaCaa2,CuuC,2aCCiCat,CuCC+aan,CaaCat,CuC,maCaaCiiC,tawaaCiiC,Ciwaa,Cu2aCaa2,maCaaCi2,taCaaCiiC,2uCaCaa2,2aCaaCiC+at,CuC~aC,2ayaaCii,2aCaawiyC,Cuaa,2ayaaC,2aCyaaC,2aCiiCC+aan,CaCiiC,CuCC,2aCCiiC+aan}

@data
2vCvvC,aii,False,m,r,2uCaC+aa2
2vC~,u,True,f,i,2uCaC
yvwC,a,False,m,i,2ay~aaC
CvCC,a,False,m,i,CuCuuC
CvtvmvC~vC,uaai,False,m,r,+iin
vvCtvCvvC,aiiaa,False,m,i,+aat
CvCvCvy~,aai,True,f,i,+aat
mvCvC~vC,uaa,True,f,i,+aat
2vCCvvC,iaa,False,m,i,+aat
CvCCvy~,ui,False,m,r,CuCuuC
CvyvvC,aaa,False,m,i,+aat
mvtvCvC~vC,uaai,False,m,r,+iin
vvCC,ai,False,m,i,2aCC+aa2
CvvC,aa,False,m,i,2aCwaaC
vvCtvyvvC,aiiaa,False,m,i,+aat
CvwC,a,False,m,i,2aCwaaC
CvCC,u,False,m,i,2aCCaaC
CvCC,a,True,f,i,+aat
CvvCvv,aaii,False,m,i,+iin
CvCvC,aa,False,m,i,2aCCaaC
wvCC,a,False,m,i,2awCaaC
CvCCvC,uu,False,m,i,CaCaaCiC
mvCvvC,aaa,True,f,i,+aat
mvCCvC,ia,True,f,i,maCaaCiC
CvCC,a,True,f,i,+aat
wvCvvC,uuu,False,m,i,+aat
CvvCvC,aai,True,f,i,CawaaCiC
mvCCvC,aa,True,f,i,maCaaCiC
CvCC,a,False,m,i,CuCuuC
2vCvC,aa,False,m,i,2aaCaaC
tvCvvCvv,aaaii,False,m,i,+aat
CvCvC,aa,False,m,i,2aCCaaC
mvCCvC,aa,False,m,i,maCaaCiC
tvCCvvC,aii,False,m,i,+aat
Cvw~,u,True,f,i,+aat
CvCC,a,False,m,i,CuCuuC
CvCvvC,aii,True,f,i,CaCaa2iC
tvCvC~vC,aau,False,m,i,+aat
CvCvvC,iaa,False,m,i,2aCCiC+at
2vCCvvC,iaa,False,m,i,+aat
CvCCvy~,ai,False,m,r,+iin
CvCC,u,False,m,i,2aCCaaC
NTWS,x,False,m,i,+aat
CvCvvC,aii,True,f,i,CuCuC
2vCvC,aa,False,m,r,2aaCaaC
mvstvCvvC,uaaa,False,m,r,+iin
mvCCvvC,auu,True,f,i,+aat
CvCC,u,True,f,i,CuCaC
tvCCvvC,aii,False,m,i,+aat
CvC~vvC,aaa,True,f,i,+aat
CvCvvC,iaa,False,m,i,2aCCiC+at
CvwC,a,True,f,i,CuwaC
CvvC,uu,False,m,i,2aCwaaC
CvCvvC,aaa,True,f,i,CaCaa2iC
CvC,a,True,f,i,+aat
CvCvC,aa,False,m,i,2aCCaaC
wvCvvC,aii,False,m,r,wuCaC+aa2
tvwvC~vC,aau,False,m,i,+aat
mvtvCvC~vC,uaai,False,f,r,+aat
wvCvvC,iaa,True,f,i,+aat
mvCCvvC,auu,False,m,i,+aat
CvCC,a,False,m,i,CuCuuC
CvCvvy,iaa,True,f,i,+aat
mvCCvC,ui,False,m,r,+iin
2vCCvvC,iaa,False,m,i,+aat
CvCC,a,False,m,i,CuCuuC
CvCvvy,iaa,True,f,i,+aat
CvvC,aa,False,m,i,2aCwaaC
CvCvC,ai,True,f,i,+aat
CvCC,a,False,m,r,2aCCaaC
mvwvvCvC,uaaa,True,f,i,+aat
CvvCvC,aai,False,m,r,CuC~aaC
CvCvvCvy~,uaai,False,m,r,+iin
wvCvvC,iaa,True,f,i,+aat
2vCvvC,iaa,True,f,i,+aat
CvCC,u,False,m,i,CuCuuC
mvCvC~,aa,False,m,i,+aat
CvC~,u,True,f,i,CuCaC
CvvCvC,aai,False,m,r,+iin
CvCC,a,False,m,i,CuCuuC
CvCvvC,iaa,False,m,i,+aat
vvCtvCvvC,aiiaa,False,m,i,+aat
wvCvvy,iaa,True,f,i,+aat
vvCtvCvvC,aiiaa,False,m,i,+aat
CvCCvC,uu,True,f,i,CaCaaCiC
CvCC,a,False,m,i,CuCuuC
mvCCvC,ai,False,m,i,maCaaCiC
